name,type,price,fire-rate,wall-pen,magazine,head-dmg-close,body-dmg-close,leg-dmg-close,head-dmg-medium,body-dmg-medium,leg-dmg-medium,head-dmg-long,body-dmg-long,leg-dmg-long
classic,sidearm,0,6.75,low,12,78,26,22,78,26,22,66,22,18
shorty,sidearm,200,3.3,low,2,36,12,10,24,8,6,9,3,2
frenzy,sidearm,400,10,low,13,78,26,22,63,21,17,63,21,17
ghost,sidearm,500,6.75,medium,15,105,33,26,88,25,21,88,25,21
sheriff,sidearm,800,4,high,6,160,55,47,160,55,47,145,50,43
bulldog,rifle,2100,9.15,medium,24,116,35,30,116,35,30,116,35,30
guardian,rifle,2700,6.5,medium,12,195,65,49,195,65,49,195,65,49
phantom,rifle,2900,11,medium,30,156,39,33,140,35,30,124,31,26
vandal,rifle,2900,9.25,medium,25,156,39,33,156,39,33,156,39,33
stinger,smg,1000,20,low,20,67,27,23,62,25,21,62,25,21
spectre,smg,1600,13.33,medium,30,78,26,22,66,22,18,66,22,18
marshall,sniper,1100,1.5,medium,5,202,101,85,202,101,85,202,101,85
operator,sniper,4500,0.75,high,5,255,150,127,255,150,127,255,150,127
bucky,shotgun,900,1.1,low,5,55,22,19,34,17,14,18,9,8
judge,shotgun,1500,3.5,medium,7,34,17,14,26,13,11,20,10,9
ares,heavy,1700,10,high,50,72,30,25,72,30,25,67,28,23
odin,heavy,3200,12,high,100,95,38,32,95,38,32,77,31,26
